account_id,account_name,matter_id,matter_name,practice_area,matter_category,open_date,all_time_entry_text,total_hours,total_billing,avg_rate,n_time_entries,n_unique_users,all_context_text,has_useful_text,has_practice_area,has_category,evidence_quality_score
276,Laborde Legal Group,107443,practice & technology consulting,technology transactions,NA,2009-02-17,mail lauren kristen installation sharing printer computer write charge telephone conference wr email client add assistant mypinklawyer address exchange user list outlook exchange maintenance created exchange user account email intermedia hosted exchange multiple creation issues multiple support tix completion outlook exchange maintenance installed dell kristen office moved installed dell kristen office lauren desk hardware support onsite lauren unable access nas resolved telephone telephone conference call lauren access nas walked reboot connect client telephone conference site diagnosis network storage errors nas accessible troubleshooting support diagnostics disconnect reconnect warranty replacement hardware support onsite call seagate follow verify backup disk formatting technical requirements write time hardware support remote telephone director technician techsoft difficulty recovering nas data due maxtor proprietary file formating image creation delayed delivery time clio services advanced email data recovery follow warranty replacement purchase portable external hd hardware support remote telephone site reconfiguration outlook profile assistant amanda export import master contacts pst file rename computer user outlook exchange maintenance call tech recovered data email update kristen hardware support remote telephone,9.8,1140,106.25,12,1,Matter name: practice & technology consulting Practice area: technology transactions Matter category: Time entry evidence: mail lauren kristen installation sharing printer computer write charge telephone conference wr email client add assistant mypinklawyer address exchange user list outlook exchange maintenance created exchange user account email intermedia hosted exchange multiple creation issues multiple support tix completion outlook exchange maintenance installed dell kristen office moved installed dell kristen office lauren desk hardware support onsite lauren unable access nas resolved telephone telephone conference call lauren access nas walked reboot connect client telephone conference site diagnosis network storage errors nas accessible troubleshooting support diagnostics disconnect reconnect warranty replacement hardware support onsite call seagate follow verify backup disk formatting technical requirements write time hardware support remote telephone director technician techsoft difficulty recovering nas data due maxtor proprietary file formating image creation delayed delivery time clio services advanced email data recovery follow warranty replacement purchase portable external hd hardware support remote telephone site reconfiguration outlook profile assistant amanda export import master contacts pst file rename computer user outlook exchange maintenance call tech recovered data email update kristen hardware support remote telephone,TRUE,TRUE,FALSE,medium
276,Laborde Legal Group,107445,clio training & demos,start ups investors,NA,2010-02-17,attended webinar hosted adriana obo clio onboarding training teams clio,2.11,0,0,2,2,Matter name: clio training & demos Practice area: start ups investors Matter category: Time entry evidence: attended webinar hosted adriana obo clio onboarding training teams clio,TRUE,TRUE,FALSE,medium
276,Laborde Legal Group,107447,"consulting: tabs3, practice master, tas",technology transactions,NA,2010-12-08,training amanda postponed conference seq pm tabs implementation network planning hour actual tabs practice master services meeting training amanda steve tabs tas pm set training troubleshooting tabs practice master services amanda trust checks costs tabs tabs practice master services person consultation training amanda steve tabs practice master tas tabs practice master services tabs practice master services training support statement headers setup formatting payments bills editing time actual time hrs tabs practice master services training support posting checks capturing costs fees real data entered matters tabs practice master services,9.5,1187.5,125,7,1,"Matter name: consulting: tabs3, practice master, tas Practice area: technology transactions Matter category: Time entry evidence: training amanda postponed conference seq pm tabs implementation network planning hour actual tabs practice master services meeting training amanda steve tabs tas pm set training troubleshooting tabs practice master services amanda trust checks costs tabs tabs practice master services person consultation training amanda steve tabs practice master tas tabs practice master services tabs practice master services training support statement headers setup formatting payments bills editing time actual time hrs tabs practice master services training support posting checks capturing costs fees real data entered matters tabs practice master services",TRUE,TRUE,FALSE,medium
276,Laborde Legal Group,107448,practice/technology consulting,technology transactions,NA,2010-09-03,mike stebbins coffee bagelheads initial consultation planning write conference scheduled conference call clio fly covered issues related billing quickbook integration editing bill adding expenses preview draft bill clio services basic email client bookkeeper nancy frank recap call clio resources related quickbooks integration export capabilities clio services advanced initial consultation meeting pm pm charge practice technology consulting call client bookeeper covered quickbooks integration limitations mike timekeeping billing processes current tabs process referenced clio web resources related quickbooks integration export capabilities clio services advanced,4.4,142.5,45,5,1,Matter name: practice/technology consulting Practice area: technology transactions Matter category: Time entry evidence: mike stebbins coffee bagelheads initial consultation planning write conference scheduled conference call clio fly covered issues related billing quickbook integration editing bill adding expenses preview draft bill clio services basic email client bookkeeper nancy frank recap call clio resources related quickbooks integration export capabilities clio services advanced initial consultation meeting pm pm charge practice technology consulting call client bookeeper covered quickbooks integration limitations mike timekeeping billing processes current tabs process referenced clio web resources related quickbooks integration export capabilities clio services advanced,TRUE,TRUE,FALSE,medium
276,Laborde Legal Group,107451,general corporate & commercial matters,business outside general corp matters,NA,2012-02-16,detailed review commercial lease conference randy monet conference,2,300,150,1,1,Matter name: general corporate & commercial matters Practice area: business outside general corp matters Matter category: Time entry evidence: detailed review commercial lease conference randy monet conference,TRUE,TRUE,FALSE,medium
276,Laborde Legal Group,107454,familylawclinic.org (ben carpenter),consulting legal technology practice management,NA,2012-12-12,email documents review email attached documents email comm ben telephone conference email legalease update send nda carpenter finalized nda legaleasesolutions docassmbly industry development product reveal week risk mitigations telephone conference demo update legaleasesolutions email comm phone call benjamin updates legalease req aprov process rapid docs license incubator google remainder hours wk minimum consulting agreement week jan remainder hours wk minimum consulting agreement week jan remainder hours wk minimum consulting agreement week jan remainder hours wk minimum consulting agreement week jan email follow legalease continued delays failed release received reviewed email follow signed directlaw day trial received reviewed phone call updates debrief website directlaw doc rollout granat cc benjamin remaining flc documents follow update call benjamin email comm document sandman letter markup comments gpl docx receive review reply,16.5,1237.5,75,15,1,Matter name: familylawclinic.org (ben carpenter) Practice area: consulting legal technology practice management Matter category: Time entry evidence: email documents review email attached documents email comm ben telephone conference email legalease update send nda carpenter finalized nda legaleasesolutions docassmbly industry development product reveal week risk mitigations telephone conference demo update legaleasesolutions email comm phone call benjamin updates legalease req aprov process rapid docs license incubator google remainder hours wk minimum consulting agreement week jan remainder hours wk minimum consulting agreement week jan remainder hours wk minimum consulting agreement week jan remainder hours wk minimum consulting agreement week jan email follow legalease continued delays failed release received reviewed email follow signed directlaw day trial received reviewed phone call updates debrief website directlaw doc rollout granat cc benjamin remaining flc documents follow update call benjamin email comm document sandman letter markup comments gpl docx receive review reply,TRUE,TRUE,FALSE,medium
276,Laborde Legal Group,107455,"more business systems, llc (consulting) [pird matter]",consulting business,NA,2012-12-13,phone call plan consulting email alan conf call email alan conf call phone call orientation preparations pird evaluation purchase phone call conf call pird phone call pm conf call pird email alan updated communications dde mike davis email monday call pird availability week plan detailed document dive conf dec st email alan review copy pp broxson business services letter review prep pird matter review prep pird matter review prep pird matter review prep pird matter conf phone call conf pird docs ida oa strategy phone call pm conf pird ida oa creative strategy alt resolution deliverables pird matter notes wrap ups strategy drafing,16.75,0,0,16,1,"Matter name: more business systems, llc (consulting) [pird matter] Practice area: consulting business Matter category: Time entry evidence: phone call plan consulting email alan conf call email alan conf call phone call orientation preparations pird evaluation purchase phone call conf call pird phone call pm conf call pird email alan updated communications dde mike davis email monday call pird availability week plan detailed document dive conf dec st email alan review copy pp broxson business services letter review prep pird matter review prep pird matter review prep pird matter review prep pird matter conf phone call conf pird docs ida oa strategy phone call pm conf pird ida oa creative strategy alt resolution deliverables pird matter notes wrap ups strategy drafing",TRUE,TRUE,FALSE,medium
276,Laborde Legal Group,107456,"more business systems, llc (gen counsel) [pird matter]",intellectual property trademark registration,NA,2013-01-01,email update receive review reply email product received reviewed drafting file review emails receive review reply file research review oa oa oa emails alan receive review reply hr mobile call hr call revisions pird ip eval pird ip eval review recommendations prepare reg scheduled pm call telephone conference wrap notes revisions document drafting email receive review reply email receive review reply email request time summary bllable email comm email payroll processing billable receive review reply email received reviewed email received reviewed email received reviewed email fwd received reviewed email received reviewed email received reviewed email received reviewed reach call telephone conference scheduled call conference gb scheduled pm conf conference research review drafting phone call week wrap week begin pird conference payroll procedures email address billable email comm email address email comm memo add bullets gb prepare conf call pird conference email pird mtg gb receive review reply pird ida discussion received reviewed pird ip eval received reviewed email medical mkt attachment received reviewed mtg gb telephone conference mtg pird gb cert ltr rcvd gb cert ltr rcvd email alan time pird matters received reviewed emails ph appt md thursday status receive review reply email time conf pird time receive review reply rh cph ga fl atty ref telephone conference advising ga fl atty ref email comm barker cph potential reprsnt ga llc dispute dissolution fees fit capacities telephone conference fbarker confirming potential fit potential reprsnt ga llc dispute dissolution email comm email request integrate assimilate pird activities time format receive review reply email fbarker cph law received reviewed email discuss brad bradford profile links receive review reply email draft renewed advisory gary broxson seek relevant legal counsel drafted email evaluation ip gb pird illumnenu pm debrief gb fri phone calls dd response ltr phone msgs emails md gl discussion dissolution fraud allegations damages cb role ab eio holder fiduciary duties therto reiterated suggestion gb hire ga counsel renewed formal notice email draft renewed advisory gary broxson seek relevant legal counsel received reviewed rs alan bode timeline gl rs uspto decision involving bode brad bradford atty atty malpractice emails alan car mins prior evening mtg gb cert ltr billing gb schd call md pm mechanics substance review substance cert ltr addressing reacting md telephone conference car calls stragegy bullets md call llc dissolution considerations agmt terms cap accts art implications tasks quals capabilities intent conf gb telephone conference gb car stragegy bullets md call llc dissolution considerations art implications tasks quals capabilities telephone conference email confirming ddd hse cnsl md earlier night gb received reviewed debrief dde hse cnsl md gb email comm email proposed gb ltr cancellation ida jan receive review reply debrief review interpretation call mike davis pm thursday telephone conference discussed ponder call md thursday cert lrt effect formally accepting cert ltr cancellation business relationship ida cancelling dde pird llc telephone conference notes review file ida provisions effect pird ida force assistance pird ida alan gary condo office strategy explanation assessment acceptance acknowledgement dde cert ltr cancellation ida telephone conference alan mtg gb review pird acknowledgement agreement ida cancellation ii strategy quick formal engagement ltr md dd iii response plan separation wind telephone conference alan emails detailed review intended engagement notification letters dd md email setting call brad bradford received reviewed email actual engagement letter dd received reviewed email draft davis comments engagement letter md receive review reply email requesting gl set intro appt ga counsel barker received reviewed email operating agrmt calling managers meeting received reviewed email operating agrmt calling managers meeting mechanics agenda items effecting orderly dissolution prompting resignation dd mgr books taxes ackn minority owner ab appt accountant al received reviewed email discussing nature proposed letter amy bowen david gary letter implications fiduciary duties managers mind demand accounting demand accountant received reviewed email requesting updated time summary report received reviewed email detailed reading consdieration attachment ga llc recent developments dissolution mediation arbitration received reviewed email response draft proposing draft response ltr dd gb prepare ga counsel review review attachment memberapprovaljuly previous mbr mgr agmnt pay bowen note received reviewed email raising issue patent alj hoelter previous matter potential role pird review attachment received reviewed email research article attachment exploring viability applicability license estoppel lear doctrine progeny received reviewed email time pird matter confirming hours invoice confmd gb mtg friday receive review reply email time summary week jan prior submission confm week total receive review reply email mgmt securing payment client fees gb offer mortgage note rcvble collateral secure outstanding services received reviewed email potential ga llc matter contact info conveying gb willingness meet barker intro mtg exploring concept referring ab receive review reply email consideration opa consideration plausibility dd seeking nonrecourse status immunity proposed dissolution benefits gb pird mmbrs nonrecourse language effect fiduciary duties ab practical likelihood dd intent received reviewed email gibson dunn firm attachment gb ltr invoice gl contemplation connection pird paying prod devlpmt dde sold contacting gd explore participate response dd assertions fmr atty mckenna contributed damaged received reviewed emails nda propriety copy dde pird nda md obtaining reliable version atty armbruster received reviewed email sample disciplinary actions bode contemplation bode yr colo suspension reciprocal uspto yr suspension received reviewed email contemplation uspto suspension attachment bode suspension practice received reviewed email contemplation bills bode attached bills pmnts proposition billing patent filing bode stealing gb uspto suspension dd view gb tryin fix patent lapse received reviewed email focus aug highlighting aug ltr fl ip atty jeff lloyd md knowledge effect md dd gb patent expired bode dead md list mckenna circulating dd md gb cb mckenna successful request gb assign rights application pird consideration compensation pressure duress gb assign invention punished received reviewed email mike davis email dec ida copy ida draft cb comments thereron strategy proposition pird payment reverse royalty sales pird products manufacturer trigger dde information ii pird concurrence payment commission yrs cancellation ida received reviewed email pird arrangement letter july gibson dunn firm review attachment gd pp engagement letter terms proffered pird llc gb pird cc bowen received reviewed email dec email david charles cb knowledge patent expired received reviewed email email mike davis editing nda pird llc dealing novatech attachment received reviewed email talk freely dobbs apparent alliance bw cb dd received reviewed email special skills dde knowledge pird attached letter cohan tab light llc proposition dde bragging quals skills attributes pird rely received reviewed email letter amy bowen strategy ab pressure cb recant affidavit articulate potential suit claiming cb dd interfered business advantage colluding recent months received reviewed email thinking hypothetical scenario assessing threat cb argue fraudulently induced gary explain affidavit received reviewed potential ga counsel barker assistant intro mtg telephone conference email fwd draft davis comments final draft response ltr mdavis received reviewed email fwd request clarification copy letter davis monday received reviewed email fwd request clarification copy mdavis repy alan morning ltr discussion call mdavis receive review reply email request clarification call md scope call time frame received reviewed email time call week md gl setting premise background call week received reviewed pm debrief meeting gb susie gl discussion emails research strategy topics weekend ida cancellation mechanics effect review passionate letters dd md rv oa investment risk knowledge acceptance waiver mckenna role contributing ip language final ver opagmt telephone conference pm emails barker meeting gb ga counsel email attachment impact cancellation ida outline received reviewed email list gl preparing list information requirements received reviewed email attachment renewed advisory gary broxson jan context ga counsel mtg week receive review reply emails md request clarification upcoming phone meeting received reviewed emails fw potential ga llc matter contact info settling meeting time barker gl gb friday pm receive review reply barker confirmation mtg gb gl unavailable heading atl obtaining author gb release names conflicts check email comm alan debriefing call gb laying low plans meet pm recent phone calls rcvd email comm drafting list information data clarifications sought pird llc dde david dobbs email comm attaching time summaries periods week jan mon jan wed jan email comm step focus call md tuesday intro gl gl prepare list requirements dde pird resolution update cb late mon afternoon phone conf gb real goal copy cb affidavit bonus talk telephone conference conf md dde intro gl schedule substantive call thursday md link gl resumed call list information requirements drafting mechanics interaction md pm telephone conference reading amy bowen depo transcript deep review comparison timeline patent lapse gb post discovery file disclosure bode letter md gb dd telephone conference debrief gb calls ab cb dd cert ltr ab information derivative subordinate cb information cb posture recommendations telephone conference call gary broxson arranging meeting time location ga counsel telephone conference reviewed lien assignment balloon pmt drafted emails lien assignment balloon pmt pm email securing payment client fees gb desire offer note collateral received reviewed email attachment assignment payments option purchase prompt draft redraft security collateral instrument cover billable receive review reply email revised asgmt balloon pmt receive review reply email broxson assignment draft finalization document planninf compilation doc packet exhibits received reviewed emails attachments lien asgmt balloon pmt receive review reply drafting goals lien asgmt balloon pmt telephone conference office mtg broxson assignment draft finalization document compilation doc packet exhibits drafting revisions compilation doc packet exhibits broxson assignment lien mtg gb potential ga counsel barker travel alan write mtg gb potential ga counsel barker intro discussion cph resources availability scope gb history timeline reference docs mtg gb potential ga counsel barker travel debrief update mtg gb potential ga counsel barker telephone conference email cease spending time pird reconfirming gb request stop spending time pird matters pending amy response letter david receive review reply email alan confirming fri mtg stand total hrs related pird jan jan planning claim time ga counsel mtg document signing email fwd gary broxson fwd copy ltr dd received reviewed review friday mtg gb gl barker debrief gb post mtg alan call ab telephone conference fax email gb letter gb dd received reviewed gb hiring barker email comms fbarker call conf call fbarker rrr email mores svcs gb,105,6825,65,150,1,"Matter name: more business systems, llc (gen counsel) [pird matter] Practice area: intellectual property trademark registration Matter category: Time entry evidence: email update receive review reply email product received reviewed drafting file review emails receive review reply file research review oa oa oa emails alan receive review reply hr mobile call hr call revisions pird ip eval pird ip eval review recommendations prepare reg scheduled pm call telephone conference wrap notes revisions document drafting email receive review reply email receive review reply email request time summary bllable email comm email payroll processing billable receive review reply email received reviewed email received reviewed email received reviewed email fwd received reviewed email received reviewed email received reviewed email received reviewed reach call telephone conference scheduled call conference gb scheduled pm conf conference research review drafting phone call week wrap week begin pird conference payroll procedures email address billable email comm email address email comm memo add bullets gb prepare conf call pird conference email pird mtg gb receive review reply pird ida discussion received reviewed pird ip eval received reviewed email medical mkt attachment received reviewed mtg gb telephone conference mtg pird gb cert ltr rcvd gb cert ltr rcvd email alan time pird matters received reviewed emails ph appt md thursday status receive review reply email time conf pird time receive review reply rh cph ga fl atty ref telephone conference advising ga fl atty ref email comm barker cph potential reprsnt ga llc dispute dissolution fees fit capacities telephone conference fbarker confirming potential fit potential reprsnt ga llc dispute dissolution email comm email request integrate assimilate pird activities time format receive review reply email fbarker cph law received reviewed email discuss brad bradford profile links receive review reply email draft renewed advisory gary broxson seek relevant legal counsel drafted email evaluation ip gb pird illumnenu pm debrief gb fri phone calls dd response ltr phone msgs emails md gl discussion dissolution fraud allegations damages cb role ab eio holder fiduciary duties therto reiterated suggestion gb hire ga counsel renewed formal notice email draft renewed advisory gary broxson seek relevant legal counsel received reviewed rs alan bode timeline gl rs uspto decision involving bode brad bradford atty atty malpractice emails alan car mins prior evening mtg gb cert ltr billing gb schd call md pm mechanics substance review substance cert ltr addressing reacting md telephone conference car calls stragegy bullets md call llc dissolution considerations agmt terms cap accts art implications tasks quals capabilities intent conf gb telephone conference gb car stragegy bullets md call llc dissolution considerations art implications tasks quals capabilities telephone conference email confirming ddd hse cnsl md earlier night gb received reviewed debrief dde hse cnsl md gb email comm email proposed gb ltr cancellation ida jan receive review reply debrief review interpretation call mike davis pm thursday telephone conference discussed ponder call md thursday cert lrt effect formally accepting cert ltr cancellation business relationship ida cancelling dde pird llc telephone conference notes review file ida provisions effect pird ida force assistance pird ida alan gary condo office strategy explanation assessment acceptance acknowledgement dde cert ltr cancellation ida telephone conference alan mtg gb review pird acknowledgement agreement ida cancellation ii strategy quick formal engagement ltr md dd iii response plan separation wind telephone conference alan emails detailed review intended engagement notification letters dd md email setting call brad bradford received reviewed email actual engagement letter dd received reviewed email draft davis comments engagement letter md receive review reply email requesting gl set intro appt ga counsel barker received reviewed email operating agrmt calling managers meeting received reviewed email operating agrmt calling managers meeting mechanics agenda items effecting orderly dissolution prompting resignation dd mgr books taxes ackn minority owner ab appt accountant al received reviewed email discussing nature proposed letter amy bowen david gary letter implications fiduciary duties managers mind demand accounting demand accountant received reviewed email requesting updated time summary report received reviewed email detailed reading consdieration attachment ga llc recent developments dissolution mediation arbitration received reviewed email response draft proposing draft response ltr dd gb prepare ga counsel review review attachment memberapprovaljuly previous mbr mgr agmnt pay bowen note received reviewed email raising issue patent alj hoelter previous matter potential role pird review attachment received reviewed email research article attachment exploring viability applicability license estoppel lear doctrine progeny received reviewed email time pird matter confirming hours invoice confmd gb mtg friday receive review reply email time summary week jan prior submission confm week total receive review reply email mgmt securing payment client fees gb offer mortgage note rcvble collateral secure outstanding services received reviewed email potential ga llc matter contact info conveying gb willingness meet barker intro mtg exploring concept referring ab receive review reply email consideration opa consideration plausibility dd seeking nonrecourse status immunity proposed dissolution benefits gb pird mmbrs nonrecourse language effect fiduciary duties ab practical likelihood dd intent received reviewed email gibson dunn firm attachment gb ltr invoice gl contemplation connection pird paying prod devlpmt dde sold contacting gd explore participate response dd assertions fmr atty mckenna contributed damaged received reviewed emails nda propriety copy dde pird nda md obtaining reliable version atty armbruster received reviewed email sample disciplinary actions bode contemplation bode yr colo suspension reciprocal uspto yr suspension received reviewed email contemplation uspto suspension attachment bode suspension practice received reviewed email contemplation bills bode attached bills pmnts proposition billing patent filing bode stealing gb uspto suspension dd view gb tryin fix patent lapse received reviewed email focus aug highlighting aug ltr fl ip atty jeff lloyd md knowledge effect md dd gb patent expired bode dead md list mckenna circulating dd md gb cb mckenna successful request gb assign rights application pird consideration compensation pressure duress gb assign invention punished received reviewed email mike davis email dec ida copy ida draft cb comments thereron strategy proposition pird payment reverse royalty sales pird products manufacturer trigger dde information ii pird concurrence payment commission yrs cancellation ida received reviewed email pird arrangement letter july gibson dunn firm review attachment gd pp engagement letter terms proffered pird llc gb pird cc bowen received reviewed email dec email david charles cb knowledge patent expired received reviewed email email mike davis editing nda pird llc dealing novatech attachment received reviewed email talk freely dobbs apparent alliance bw cb dd received reviewed email special skills dde knowledge pird attached letter cohan tab light llc proposition dde bragging quals skills attributes pird rely received reviewed email letter amy bowen strategy ab pressure cb recant affidavit articulate potential suit claiming cb dd interfered business advantage colluding recent months received reviewed email thinking hypothetical scenario assessing threat cb argue fraudulently induced gary explain affidavit received reviewed potential ga counsel barker assistant intro mtg telephone conference email fwd draft davis comments final draft response ltr mdavis received reviewed email fwd request clarification copy letter davis monday received reviewed email fwd request clarification copy mdavis repy alan morning ltr discussion call mdavis receive review reply email request clarification call md scope call time frame received reviewed email time call week md gl setting premise background call week received reviewed pm debrief meeting gb susie gl discussion emails research strategy topics weekend ida cancellation mechanics effect review passionate letters dd md rv oa investment risk knowledge acceptance waiver mckenna role contributing ip language final ver opagmt telephone conference pm emails barker meeting gb ga counsel email attachment impact cancellation ida outline received reviewed email list gl preparing list information requirements received reviewed email attachment renewed advisory gary broxson jan context ga counsel mtg week receive review reply emails md request clarification upcoming phone meeting received reviewed emails fw potential ga llc matter contact info settling meeting time barker gl gb friday pm receive review reply barker confirmation mtg gb gl unavailable heading atl obtaining author gb release names conflicts check email comm alan debriefing call gb laying low plans meet pm recent phone calls rcvd email comm drafting list information data clarifications sought pird llc dde david dobbs email comm attaching time summaries periods week jan mon jan wed jan email comm step focus call md tuesday intro gl gl prepare list requirements dde pird resolution update cb late mon afternoon phone conf gb real goal copy cb affidavit bonus talk telephone conference conf md dde intro gl schedule substantive call thursday md link gl resumed call list information requirements drafting mechanics interaction md pm telephone conference reading amy bowen depo transcript deep review comparison timeline patent lapse gb post discovery file disclosure bode letter md gb dd telephone conference debrief gb calls ab cb dd cert ltr ab information derivative subordinate cb information cb posture recommendations telephone conference call gary broxson arranging meeting time location ga counsel telephone conference reviewed lien assignment balloon pmt drafted emails lien assignment balloon pmt pm email securing payment client fees gb desire offer note collateral received reviewed email attachment assignment payments option purchase prompt draft redraft security collateral instrument cover billable receive review reply email revised asgmt balloon pmt receive review reply email broxson assignment draft finalization document planninf compilation doc packet exhibits received reviewed emails attachments lien asgmt balloon pmt receive review reply drafting goals lien asgmt balloon pmt telephone conference office mtg broxson assignment draft finalization document compilation doc packet exhibits drafting revisions compilation doc packet exhibits broxson assignment lien mtg gb potential ga counsel barker travel alan write mtg gb potential ga counsel barker intro discussion cph resources availability scope gb history timeline reference docs mtg gb potential ga counsel barker travel debrief update mtg gb potential ga counsel barker telephone conference email cease spending time pird reconfirming gb request stop spending time pird matters pending amy response letter david receive review reply email alan confirming fri mtg stand total hrs related pird jan jan planning claim time ga counsel mtg document signing email fwd gary broxson fwd copy ltr dd received reviewed review friday mtg gb gl barker debrief gb post mtg alan call ab telephone conference fax email gb letter gb dd received reviewed gb hiring barker email comms fbarker call conf call fbarker rrr email mores svcs gb",TRUE,TRUE,FALSE,medium
276,Laborde Legal Group,107457,more (gencounsel)_nexgen matter (software lic agmt) from 01.07.13,intellectual property trademark registration,NA,2013-01-07,email license texas company nexgen proposed sla received reviewed sla conference email fwd nexgen software license authorization receive review reply email fwd nexgen education simplified received reviewed nexgen proposed sla telephone conference email fwd nexgen software license authorization receive review reply email texas software license receive review reply texas software license email comm review sla investigation price list jan pdfs email comm update call jim telephone conference email red discussion receive review reply email software license agreements received reviewed email quick review receive review reply quck reveiw email comm multiple distinctions sla proposed sla telephone conference email att revision receive review reply email fwd alan terry received reviewed email nexgen response received received reviewed email invoice nexgen receive review reply phone call confirming sla execution software install session,12.75,828.75,65,21,1,Matter name: more (gencounsel)_nexgen matter (software lic agmt) from 01.07.13 Practice area: intellectual property trademark registration Matter category: Time entry evidence: email license texas company nexgen proposed sla received reviewed sla conference email fwd nexgen software license authorization receive review reply email fwd nexgen education simplified received reviewed nexgen proposed sla telephone conference email fwd nexgen software license authorization receive review reply email texas software license receive review reply texas software license email comm review sla investigation price list jan pdfs email comm update call jim telephone conference email red discussion receive review reply email software license agreements received reviewed email quick review receive review reply quck reveiw email comm multiple distinctions sla proposed sla telephone conference email att revision receive review reply email fwd alan terry received reviewed email nexgen response received received reviewed email invoice nexgen receive review reply phone call confirming sla execution software install session,TRUE,TRUE,FALSE,medium
276,Laborde Legal Group,107458,more (gen counsel) owensby invention matter,intellectual property trademark registration,NA,2013-01-07,email owensby matter received reviewed owensby matter conference steve owensby intro call telephone conference hr call revisions nda noncirc owensby matter email comm revised nda attached email comm rs ip aia march patent drafting rs ip patent law drafting rs ip patent law travel office condo overview mtg owensby matter exec nda depth mtg owensby travel office condo emails undue influence discussion owensby contemplation discussion applicability concept research definition discussion concerns steve goals understanding weekend vm upcoming mtg receive review reply email steve sick cancellation mtg wek received reviewed reviewed file mou memorialize understanding parties continued rv file agmts parties plane mou memorialize understanding parties issue undue influence concern owensby someday allege advantage position preparation proposed mou ownesby rv ref hard file revisions proposed mou reflecting status understanding parties rs file email comm,18.5,1202.5,65,23,1,Matter name: more (gen counsel) owensby invention matter Practice area: intellectual property trademark registration Matter category: Time entry evidence: email owensby matter received reviewed owensby matter conference steve owensby intro call telephone conference hr call revisions nda noncirc owensby matter email comm revised nda attached email comm rs ip aia march patent drafting rs ip patent law drafting rs ip patent law travel office condo overview mtg owensby matter exec nda depth mtg owensby travel office condo emails undue influence discussion owensby contemplation discussion applicability concept research definition discussion concerns steve goals understanding weekend vm upcoming mtg receive review reply email steve sick cancellation mtg wek received reviewed reviewed file mou memorialize understanding parties continued rv file agmts parties plane mou memorialize understanding parties issue undue influence concern owensby someday allege advantage position preparation proposed mou ownesby rv ref hard file revisions proposed mou reflecting status understanding parties rs file email comm,TRUE,TRUE,FALSE,medium
